id_measurement;latitude;longitude;id_ernte;fehlt;überreif;verkümmert;kein Kopf;faul;unreif;Gewicht
Hofmaenner_F_001.165;47.21803346;9.493380133;Hofmaenner_F_001.165;false;false;false;false;false;false;503
Hofmaenner_F_001.166;47.21803032;9.493378377;Hofmaenner_F_001.166;false;false;false;false;false;false;471
Hofmaenner_F_001.167;47.21802753;9.493376939;Hofmaenner_F_001.167;false;false;false;false;false;false;709
Hofmaenner_F_001.168;47.21802431;9.493375333;Hofmaenner_F_001.168;false;false;false;false;false;false;573
Hofmaenner_F_001.169;47.21802146;9.493373532;Hofmaenner_F_001.169;false;false;false;false;false;false;597
Hofmaenner_F_001.170;47.21801883;9.493372063;Hofmaenner_F_001.170;false;false;false;false;false;false;802
Hofmaenner_F_001.171;47.21801544;9.493369939;Hofmaenner_F_001.171;false;false;false;false;false;false;479
Hofmaenner_F_001.172;47.21801228;9.493368196;Hofmaenner_F_001.172;false;false;false;false;false;false;764
Hofmaenner_F_001.173;47.21800939;9.493366502;Hofmaenner_F_001.173;false;false;false;false;false;false;587
Hofmaenner_F_001.174;47.21800645;9.493364893;Hofmaenner_F_001.174;false;false;false;false;false;false;714
Hofmaenner_F_001.175;47.21800357;9.493363351;Hofmaenner_F_001.175;false;false;false;false;false;false;358
Hofmaenner_F_001.176;47.21800023;9.493361431;Hofmaenner_F_001.176;false;false;false;false;false;false;398
Hofmaenner_F_001.177;47.21799723;9.493359731;Hofmaenner_F_001.177;false;false;false;false;false;false;579
Hofmaenner_F_001.178;47.21799395;9.493357937;Hofmaenner_F_001.178;false;false;false;false;false;false;704
Hofmaenner_F_001.179;47.21799079;9.493356095;Hofmaenner_F_001.179;false;false;false;false;false;false;413
Hofmaenner_F_001.180;47.21798796;9.493354335;Hofmaenner_F_001.180;false;false;false;false;false;false;701
Hofmaenner_F_001.181;47.21798502;9.493352878;Hofmaenner_F_001.181;false;false;false;false;false;false;631
Hofmaenner_F_001.182;47.21798192;9.4933511;Hofmaenner_F_001.182;false;false;false;false;false;false;660
Hofmaenner_F_001.183;47.21797912;9.493349239;Hofmaenner_F_001.183;false;false;false;false;false;false;467
Hofmaenner_F_001.184;47.21797524;9.493347514;Hofmaenner_F_001.184;false;false;false;false;false;false;606
Hofmaenner_F_001.185;47.21797277;9.493345896;Hofmaenner_F_001.185;false;false;false;false;false;false;712
Hofmaenner_F_001.186;47.21796979;9.493344114;Hofmaenner_F_001.186;false;false;false;false;false;false;530
Hofmaenner_F_001.187;47.21796689;9.493342588;Hofmaenner_F_001.187;false;false;false;false;false;false;571
Hofmaenner_F_001.188;47.21796353;9.493340624;Hofmaenner_F_001.188;false;false;false;false;false;false;638
Hofmaenner_F_001.189;47.21796074;9.493339039;Hofmaenner_F_001.189;false;false;false;false;false;false;612
Hofmaenner_F_001.190;47.21795779;9.493337207;Hofmaenner_F_001.190;false;false;false;false;false;false;445
Hofmaenner_F_001.191;47.21795498;9.493335682;Hofmaenner_F_001.191;false;false;false;false;false;false;697
Hofmaenner_F_001.192;47.21795127;9.49333377;Hofmaenner_F_001.192;false;false;false;false;false;false;518
Hofmaenner_F_001.193;47.21794847;9.493332002;Hofmaenner_F_001.193;false;false;false;false;false;true;nan
Hofmaenner_F_001.194;47.21794534;9.493329965;Hofmaenner_F_001.194;false;false;false;false;false;false;631
Hofmaenner_F_001.195;47.21794221;9.493328606;Hofmaenner_F_001.195;false;false;false;false;false;false;1030
Hofmaenner_F_001.196;47.21793607;9.493324966;Hofmaenner_F_001.196;false;false;false;false;false;false;634
Hofmaenner_F_001.197;47.21793288;9.493323263;Hofmaenner_F_001.197;false;false;false;false;false;false;787
Hofmaenner_F_001.198;47.21792986;9.493321525;Hofmaenner_F_001.198;false;false;false;false;false;false;383
Hofmaenner_F_001.199;47.21792691;9.493319796;Hofmaenner_F_001.199;false;false;false;false;false;false;676
Hofmaenner_F_001.200;47.21792392;9.493318036;Hofmaenner_F_001.200;false;false;false;false;false;false;597
Hofmaenner_F_001.201;47.21792093;9.493316424;Hofmaenner_F_001.201;false;false;false;false;false;false;582
Hofmaenner_F_001.202;47.21791804;9.493314808;Hofmaenner_F_001.202;false;false;false;false;false;false;751
Hofmaenner_F_001.203;47.21791503;9.493313229;Hofmaenner_F_001.203;false;false;false;false;false;false;511
Hofmaenner_F_001.204;47.21791191;9.493311397;Hofmaenner_F_001.204;false;false;false;false;false;false;700
Hofmaenner_F_001.205;47.21790898;9.493309716;Hofmaenner_F_001.205;false;false;false;false;false;false;758
Hofmaenner_F_001.206;47.21790561;9.493307671;Hofmaenner_F_001.206;false;false;false;false;false;false;461
Hofmaenner_F_001.207;47.21790261;9.493306188;Hofmaenner_F_001.207;false;false;false;false;false;false;616
Hofmaenner_F_001.208;47.21789948;9.493304679;Hofmaenner_F_001.208;false;false;false;false;false;false;402
Hofmaenner_F_001.209;47.21789656;9.493302762;Hofmaenner_F_001.209;false;false;false;false;false;false;783
Hofmaenner_F_001.210;47.21789335;9.493301103;Hofmaenner_F_001.210;false;false;false;false;false;false;556
Hofmaenner_F_001.211;47.21789084;9.493299451;Hofmaenner_F_001.211;false;false;false;false;false;false;705
